Episode 716, Reward: 200
Episode 717, Reward: 200
Episode 718, Reward: 550
Episode 719, Reward: 400
Episode  720 | eps=0.629 | mean=285.0 | best=900.0 | steps=185601
Episode 720, Reward: 200
Episode 721, Reward: 250
Episode 722, Reward: 250
Episode 723, Reward: 200
Episode 724, Reward: 150
Episode 725, Reward: 350
Episode 726, Reward: 150
Episode 727, Reward: 100
Episode 728, Reward: 200
Episode 729, Reward: 400
Episode 730, Reward: 250
Episode 731, Reward: 150
Episode 732, Reward: 400
Episode 733, Reward: 200
Episode 734, Reward: 150
Episode 735, Reward: 150
Episode 736, Reward: 200
Episode 737, Reward: 450
Episode 738, Reward: 600
Episode 739, Reward: 800
Episode  740 | eps=0.619 | mean=280.0 | best=800.0 | steps=190666
Episode 740, Reward: 300
Episode 741, Reward: 350
Episode 742, Reward: 250
Episode 743, Reward: 700
Episode 744, Reward: 250
Episode 745, Reward: 500
Episode 746, Reward: 550
Episode 747, Reward: 350
Episode 748, Reward: 250
Episode 749, Reward: 500
Episode 750, Reward: 200
Episode 751, Reward: 300
Episode 752, Reward: 500
Episode 753, Reward: 200
Episode 754, Reward: 200
Episode 755, Reward: 250
Episode 756, Reward: 250
Episode 757, Reward: 650
Episode 758, Reward: 150
Episode 759, Reward: 150
Episode  760 | eps=0.608 | mean=342.5 | best=700.0 | steps=196058
Episode 760, Reward: 150
Episode 761, Reward: 450
Episode 762, Reward: 400
Episode 763, Reward: 200
Episode 764, Reward: 300
Episode 765, Reward: 300
Episode 766, Reward: 600
Episode 767, Reward: 100
Episode 768, Reward: 500
Episode 769, Reward: 600
Episode 770, Reward: 250
Episode 771, Reward: 350
Episode 772, Reward: 100
Episode 773, Reward: 200
Episode 774, Reward: 550
Episode 775, Reward: 200
Episode 776, Reward: 250
Episode 777, Reward: 550
Episode 778, Reward: 400
Episode 779, Reward: 200
Episode  780 | eps=0.597 | mean=332.5 | best=600.0 | steps=201413
Episode 780, Reward: 150
Episode 781, Reward: 300
Episode 782, Reward: 250
Episode 783, Reward: 400
Episode 784, Reward: 500
Episode 785, Reward: 450
Episode 786, Reward: 200
Episode 787, Reward: 400
Episode 788, Reward: 750
Episode 789, Reward: 350
Episode 790, Reward: 350
Episode 791, Reward: 400
Episode 792, Reward: 200
Episode 793, Reward: 300
Episode 794, Reward: 450
Episode 795, Reward: 100
Episode 796, Reward: 200
Episode 797, Reward: 350
Episode 798, Reward: 150
Episode 799, Reward: 100
Episode  800 | eps=0.587 | mean=317.5 | best=750.0 | steps=206584
Episode 800, Reward: 200
Episode 801, Reward: 250
Episode 802, Reward: 250
Episode 803, Reward: 550
Episode 804, Reward: 250
Episode 805, Reward: 300
Episode 806, Reward: 350
Episode 807, Reward: 550
Episode 808, Reward: 400
Episode 809, Reward: 300
Episode 810, Reward: 550
Episode 811, Reward: 200
Episode 812, Reward: 250
Episode 813, Reward: 450
Episode 814, Reward: 500
Episode 815, Reward: 300
Episode 816, Reward: 250
Episode 817, Reward: 600
Episode 818, Reward: 150
Episode 819, Reward: 350
Episode  820 | eps=0.576 | mean=350.0 | best=600.0 | steps=212205
Episode 820, Reward: 350
Episode 821, Reward: 50
Episode 822, Reward: 350
Episode 823, Reward: 200
Episode 824, Reward: 300
Episode 825, Reward: 350
Episode 826, Reward: 150
Episode 827, Reward: 250
Episode 828, Reward: 450
Episode 829, Reward: 250
Episode 830, Reward: 250
Episode 831, Reward: 450
Episode 832, Reward: 100
Episode 833, Reward: 150
Episode 834, Reward: 450
Episode 835, Reward: 500
Episode 836, Reward: 600
Episode 837, Reward: 150
Episode 838, Reward: 150
Episode 839, Reward: 150
Episode  840 | eps=0.566 | mean=282.5 | best=600.0 | steps=217206
Episode 840, Reward: 300
Episode 841, Reward: 350
Episode 842, Reward: 200
Episode 843, Reward: 150
Episode 844, Reward: 200
Episode 845, Reward: 150
Episode 846, Reward: 300
Episode 847, Reward: 300
Episode 848, Reward: 400
Episode 849, Reward: 300
Episode 850, Reward: 200
Episode 851, Reward: 600
Episode 852, Reward: 250
Episode 853, Reward: 700
Episode 854, Reward: 350
Episode 855, Reward: 400
Episode 856, Reward: 250
Episode 857, Reward: 200
Episode 858, Reward: 200
Episode 859, Reward: 250
Episode  860 | eps=0.555 | mean=302.5 | best=700.0 | steps=222289
Episode 860, Reward: 200
Episode 861, Reward: 400
Episode 862, Reward: 650
Episode 863, Reward: 250
Episode 864, Reward: 650
Episode 865, Reward: 200
Episode 866, Reward: 250
Episode 867, Reward: 150
Episode 868, Reward: 150
Episode 869, Reward: 700
Episode 870, Reward: 250
Episode 871, Reward: 300
Episode 872, Reward: 250
Episode 873, Reward: 350
Episode 874, Reward: 350
Episode 875, Reward: 400
Episode 876, Reward: 350
Episode 877, Reward: 200
Episode 878, Reward: 200
Episode 879, Reward: 250
Episode  880 | eps=0.545 | mean=325.0 | best=700.0 | steps=227680
Episode 880, Reward: 400
Episode 881, Reward: 200
Episode 882, Reward: 100
Episode 883, Reward: 200
Episode 884, Reward: 250
Episode 885, Reward: 100
Episode 886, Reward: 500
Episode 887, Reward: 150
Episode 888, Reward: 200
Episode 889, Reward: 250
Episode 890, Reward: 250
Episode 891, Reward: 150
Episode 892, Reward: 200
Episode 893, Reward: 200
Episode 894, Reward: 200
Episode 895, Reward: 200
Episode 896, Reward: 150
