Episode 657, Reward: 550
Episode 658, Reward: 250
Episode 659, Reward: 550
Episode  660 | eps=0.100 | mean=342.5 | best=900.0 | steps=171643
Episode 660, Reward: 450
Episode 661, Reward: 200
Episode 662, Reward: 450
Episode 663, Reward: 400
Episode 664, Reward: 250
Episode 665, Reward: 350
Episode 666, Reward: 300
Episode 667, Reward: 350
Episode 668, Reward: 650
Episode 669, Reward: 450
Episode 670, Reward: 400
Episode 671, Reward: 300
Episode 672, Reward: 100
Episode 673, Reward: 200
Episode 674, Reward: 100
Episode 675, Reward: 200
Episode 676, Reward: 500
Episode 677, Reward: 450
Episode 678, Reward: 350
Episode 679, Reward: 350
Episode  680 | eps=0.100 | mean=340.0 | best=650.0 | steps=177125
Episode 680, Reward: 250
Episode 681, Reward: 350
Episode 682, Reward: 450
Episode 683, Reward: 150
Episode 684, Reward: 250
Episode 685, Reward: 400
Episode 686, Reward: 250
Episode 687, Reward: 350
Episode 688, Reward: 850
Episode 689, Reward: 400
Episode 690, Reward: 650
Episode 691, Reward: 450
Episode 692, Reward: 300
Episode 693, Reward: 500
Episode 694, Reward: 450
Episode 695, Reward: 300
Episode 696, Reward: 250
Episode 697, Reward: 450
Episode 698, Reward: 150
Episode 699, Reward: 350
Episode  700 | eps=0.100 | mean=377.5 | best=850.0 | steps=182475
Episode 700, Reward: 400
Episode 701, Reward: 300
Episode 702, Reward: 150
Episode 703, Reward: 300
Episode 704, Reward: 300
Episode 705, Reward: 500
Episode 706, Reward: 200
Episode 707, Reward: 500
Episode 708, Reward: 200
Episode 709, Reward: 350
Episode 710, Reward: 350
Episode 711, Reward: 400
Episode 712, Reward: 550
Episode 713, Reward: 200
Episode 714, Reward: 150
Episode 715, Reward: 200
Episode 716, Reward: 550
Episode 717, Reward: 250
Episode 718, Reward: 450
Episode 719, Reward: 150
Episode  720 | eps=0.100 | mean=322.5 | best=550.0 | steps=187490
Episode 720, Reward: 400
Episode 721, Reward: 350
Episode 722, Reward: 450
Episode 723, Reward: 350
Episode 724, Reward: 150
Episode 725, Reward: 250
Episode 726, Reward: 500
Episode 727, Reward: 550
Episode 728, Reward: 550
Episode 729, Reward: 250
Episode 730, Reward: 250
Episode 731, Reward: 400
Episode 732, Reward: 200
Episode 733, Reward: 200
Episode 734, Reward: 200
Episode 735, Reward: 250
Episode 736, Reward: 400
Episode 737, Reward: 150
Episode 738, Reward: 300
Episode 739, Reward: 350
Episode  740 | eps=0.100 | mean=325.0 | best=550.0 | steps=192833
Episode 740, Reward: 200
Episode 741, Reward: 150
Episode 742, Reward: 250
Episode 743, Reward: 300
Episode 744, Reward: 700
Episode 745, Reward: 450
Episode 746, Reward: 350
Episode 747, Reward: 150
Episode 748, Reward: 200
Episode 749, Reward: 450
Episode 750, Reward: 400
Episode 751, Reward: 250
Episode 752, Reward: 350
Episode 753, Reward: 250
Episode 754, Reward: 450
Episode 755, Reward: 450
Episode 756, Reward: 300
Episode 757, Reward: 450
Episode 758, Reward: 50
Episode 759, Reward: 250
Episode  760 | eps=0.100 | mean=320.0 | best=700.0 | steps=197914
Episode 760, Reward: 400
Episode 761, Reward: 350
Episode 762, Reward: 450
Episode 763, Reward: 200
Episode 764, Reward: 200
Episode 765, Reward: 300
Episode 766, Reward: 500
Episode 767, Reward: 500
Episode 768, Reward: 500
Episode 769, Reward: 150
Episode 770, Reward: 350
Episode 771, Reward: 150
Episode 772, Reward: 300
Episode 773, Reward: 300
Episode 774, Reward: 250
Episode 775, Reward: 350
Episode 776, Reward: 200
Episode 777, Reward: 150
Episode 778, Reward: 300
Episode 779, Reward: 300
Episode  780 | eps=0.100 | mean=310.0 | best=500.0 | steps=203127
Episode 780, Reward: 400
